"﻿""Event"""	Job	Job Location	Job Description	Job Rate	Shift start date	Shift start time	Shift end date	Shift end time	Shift Description	Shift Information	Disclaimer	Confirmed	Checked In	Checked In (via app)	Checked Out	Checked Out (via app)	Parent ID	Sub-Volunteer ID	Signup Date	Signup Time	Volunteer Identifier	Email	First Name	Last Name	Phone Number	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	07:00 AM	2018-06-25	12:30 PM				1					0	1962653	2018-06-23	08:13 PM	1767655	BokBielecki@example.com	Bok	Bielecki	(619) 555-9963	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	07:00 AM	2018-06-25	12:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	12:00 PM	2018-06-25	04:30 PM				1					0	1918584	2018-06-02	05:16 PM	1746768	CelestineCoursey@example.com	Celestine	Coursey	(619) 555-4046	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	12:00 PM	2018-06-25	04:30 PM				1					0	1921267	2018-06-04	01:47 PM	1748219	SkyeSmoak@example.com	Skye	Smoak	(239) 555-4323	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	12:00 PM	2018-06-25	04:30 PM				1					0	1928161	2018-06-06	06:01 PM	1752460	TiffaneyTiedeman@example.com	Tiffaney	Tiedeman	(858) 555-6674	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	12:00 PM	2018-06-25	04:30 PM				1					0	1932784	2018-06-08	01:32 AM	1755697	RosalindaRemillard@example.com	Rosalinda	Remillard	(858) 555-9765	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	12:00 PM	2018-06-25	04:30 PM				1					0	1963299	2018-06-24	04:57 PM	1755573	BartBirchfield@example.com	Bart	Birchfield	(619) 555-9233	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	12:00 PM	2018-06-25	04:30 PM				1					0	1963388	2018-06-24	06:35 PM	1770206	RachelleReplogle@example.com	Rachelle	Replogle	(539) 555-5685	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	12:00 PM	2018-06-25	04:30 PM				1					0	1964416	2018-06-25	12:35 PM	1770663	DelorseDalessandro@example.com	Delorse	Dalessandro	(553) 555-6570	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	12:00 PM	2018-06-25	04:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	05:30 PM	2018-06-25	08:00 PM				1					0	1928472	2018-06-06	08:43 PM	1752619	RoxanaRodman@example.com	Roxana	Rodman	(858) 555-8430	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	05:30 PM	2018-06-25	08:00 PM				1					0	1928967	2018-06-07	07:19 AM	1752846	MildaMajeed@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	05:30 PM	2018-06-25	08:00 PM				1					0	1961127	2018-06-22	12:01 PM	1739243	ToddTapia@example.com	Todd	Tapia	(858) 555-6289	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	05:30 PM	2018-06-25	08:00 PM				1					0	1964417	2018-06-25	12:35 PM	1770663	ChayaCoplin@example.com	Chaya	Coplin	(345) 555-5985	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-25	05:30 PM	2018-06-25	08:00 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	08:00 AM	2018-06-26	12:30 PM				1					0	1928248	2018-06-06	06:42 PM	1752507	BennettBruner@example.com	Bennett	Bruner	(082) 555-2116	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	08:00 AM	2018-06-26	12:30 PM				1					0	1930947	2018-06-07	09:25 AM	1754691	CherriChand@example.com	Cherri	Chand	(619) 555-2688	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	08:00 AM	2018-06-26	12:30 PM				1					0	1931552	2018-06-07	01:30 PM	1755018	ReaganRaasch@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	08:00 AM	2018-06-26	12:30 PM				1					0	1943870	2018-06-12	07:32 PM	1761332	ReinaRosalez@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	08:00 AM	2018-06-26	12:30 PM				1					0	1944988	2018-06-13	01:07 PM	1761877	NilaNolan@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	08:00 AM	2018-06-26	12:30 PM				1					1944988	1944997	2018-06-13	01:10 PM	1761880	ShanaeSaulsbury@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	08:00 AM	2018-06-26	12:30 PM				1					0	1945799	2018-06-13	07:38 PM	1760370	PorschePopovich@example.com	Porsche	Popovich	(858) 555-3739	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	08:00 AM	2018-06-26	12:30 PM				1					0	1953362	2018-06-19	10:12 AM	1765787	TangelaTolliver@example.com	Tangela	Tolliver	(811) 555-1518	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	08:00 AM	2018-06-26	12:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	12:00 PM	2018-06-26	04:30 PM				1					0	1921268	2018-06-04	01:47 PM	1748219	AlmedaAlden@example.com	Almeda	Alden	(858) 555-9716	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	12:00 PM	2018-06-26	04:30 PM				1					0	1928196	2018-06-06	06:15 PM	1752479	RileyRamaker@example.com	Riley	Ramaker	(858) 555-6376	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	12:00 PM	2018-06-26	04:30 PM				1					0	1928251	2018-06-06	06:44 PM	1752510	ScarlettSauve@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	12:00 PM	2018-06-26	04:30 PM				1					0	1951787	2018-06-18	11:59 AM	1765021	KandiKerman@example.com	Kandi	Kerman	(858) 555-6277	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	12:00 PM	2018-06-26	04:30 PM				1					0	1961843	2018-06-22	08:04 PM	1769375	KristynKobayashi@example.com	Kristyn	Kobayashi	(272) 555-4570	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	12:00 PM	2018-06-26	04:30 PM				1					0	1963225	2018-06-24	03:01 PM	1770120	BethanyBoice@example.com	Bethany	Boice	(490) 555-7748	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	12:00 PM	2018-06-26	04:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	12:00 PM	2018-06-26	04:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	12:00 PM	2018-06-26	04:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	05:30 PM	2018-06-26	08:00 PM				1					0	1928162	2018-06-06	06:01 PM	1752460	KristynKobayashi@example.com	Kristyn	Kobayashi	(318) 555-6490	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	05:30 PM	2018-06-26	08:00 PM				1					0	1928968	2018-06-07	07:19 AM	1752846	RoseleeRiojas@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	05:30 PM	2018-06-26	08:00 PM				1					0	1944989	2018-06-13	01:07 PM	1761877	AngilaAshman@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	05:30 PM	2018-06-26	08:00 PM				1					1944989	1944998	2018-06-13	01:10 PM	1761880	BrentonBlanco@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-26	05:30 PM	2018-06-26	08:00 PM				1					0	1965100	2018-06-25	07:48 PM	1770998	TerrilynTyner@example.com	Terrilyn	Tyner	(858) 555-4823	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	08:00 AM	2018-06-27	12:30 PM				1					0	1928628	2018-06-06	10:28 PM	1752698	BartBirchfield@example.com	Bart	Birchfield	(858) 555-9609	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	08:00 AM	2018-06-27	12:30 PM				1					0	1935464	2018-06-09	06:10 PM	1756960	SudieSing@example.com	Sudie	Sing	(619) 555-3067	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	08:00 AM	2018-06-27	12:30 PM				1					0	1958030	2018-06-21	12:06 PM	1768066	SudieSing@example.com	Sudie	Sing	(619) 555-8747	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	08:00 AM	2018-06-27	12:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	08:00 AM	2018-06-27	12:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	12:00 PM	2018-06-27	04:30 PM				1					0	1928252	2018-06-06	06:44 PM	1752510	StephanSkelly@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	12:00 PM	2018-06-27	04:30 PM				1					0	1931485	2018-06-07	12:55 PM	1472980	BerryBermeo@example.com	Berry	Bermeo	(858) 555-3527	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	12:00 PM	2018-06-27	04:30 PM				1					0	1932547	2018-06-07	08:46 PM	1755573	TamikaTwine@example.com	Tamika	Twine	(298) 555-1115	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	12:00 PM	2018-06-27	04:30 PM				1					0	1963390	2018-06-24	06:35 PM	1770206	SharanStiltner@example.com	Sharan	Stiltner	(191) 555-4390	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	12:00 PM	2018-06-27	04:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	12:00 PM	2018-06-27	04:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	05:30 PM	2018-06-27	08:00 PM				1					0	1904034	2018-05-24	11:39 PM	1739243	TaneshaTheodore@example.com	Tanesha	Theodore	(619) 555-4269	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	05:30 PM	2018-06-27	08:00 PM				1					0	1928405	2018-06-06	08:00 PM	1752569	ToshikoTimpson@example.com	Toshiko	Timpson	(838) 555-9501	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	05:30 PM	2018-06-27	08:00 PM				1					0	1928473	2018-06-06	08:43 PM	1752619	ChelsieCustis@example.com	Chelsie	Custis	(196) 555-6614	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	05:30 PM	2018-06-27	08:00 PM				1					0	1942725	2018-06-12	11:57 AM	1760590	NickoleNoah@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	05:30 PM	2018-06-27	08:00 PM				1					0	1952342	2018-06-18	04:13 PM	1765287	LloydLederman@example.com	Lloyd	Lederman	(858) 555-6784	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	05:30 PM	2018-06-27	08:00 PM				1					0	1952490	2018-06-18	05:55 PM	1765356	AntoninaAdame@example.com	Antonina	Adame	(264) 555-5773	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	05:30 PM	2018-06-27	08:00 PM				1					0	1952493	2018-06-18	05:56 PM	1765357	WillianWingrove@example.com	Willian	Wingrove	(619) 555-2196	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	05:30 PM	2018-06-27	08:00 PM				1					0	1953904	2018-06-19	02:25 PM	1766046	JohanaJeffcoat@example.com	Johana	Jeffcoat	(858) 555-3102	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-27	05:30 PM	2018-06-27	08:00 PM				1					0	1963379	2018-06-24	06:17 PM	1770202	CelestineCoursey@example.com	Celestine	Coursey	(858) 555-6567	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	08:00 AM	2018-06-28	12:30 PM				1					0	1924047	2018-06-05	12:14 PM	1749953	SharonSaladin@example.com	Sharon	Saladin	(175) 555-8450	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	08:00 AM	2018-06-28	12:30 PM				1					0	1928629	2018-06-06	10:28 PM	1752698	TangelaTolliver@example.com	Tangela	Tolliver	(507) 555-3408	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	08:00 AM	2018-06-28	12:30 PM				1					0	1957162	2018-06-21	03:09 AM	1767654	ChelsieCustis@example.com	Chelsie	Custis	(619) 555-4860	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	08:00 AM	2018-06-28	12:30 PM				1					0	1960052	2018-06-21	07:25 PM	1768519	ShawnaStoneburner@example.com	Shawna	Stoneburner	(356) 555-5887	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	08:00 AM	2018-06-28	12:30 PM				1					0	1964140	2018-06-25	10:42 AM	1770542	MaryjaneMcculler@example.com	Maryjane	Mcculler	(319) 555-3636	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	08:00 AM	2018-06-28	12:30 PM				1					0	1964879	2018-06-25	05:12 PM	1770893	ToddTapia@example.com	Todd	Tapia	(619) 555-2020	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	08:00 AM	2018-06-28	12:30 PM				1					0	1965342	2018-06-25	11:43 PM	1770120	KemberlyKyte@example.com	Kemberly	Kyte	(426) 555-8738	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	08:00 AM	2018-06-28	12:30 PM				1					0	1966788	2018-06-26	06:05 PM	1561038	LeslieLent@example.com	Leslie	Lent	(762) 555-8875	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	12:00 PM	2018-06-28	04:30 PM				1					0	1922254	2018-06-04	09:00 PM	1748709	PenniePoteat@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	12:00 PM	2018-06-28	04:30 PM				1					0	1928253	2018-06-06	06:44 PM	1752510	YeseniaYopp@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	12:00 PM	2018-06-28	04:30 PM				1					0	1928970	2018-06-07	07:19 AM	1752846	FranchescaFunderburke@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	12:00 PM	2018-06-28	04:30 PM				1					0	1963391	2018-06-24	06:35 PM	1770206	KemberlyKyte@example.com	Kemberly	Kyte	(619) 555-0189	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	12:00 PM	2018-06-28	04:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	05:30 PM	2018-06-28	08:00 PM				1					0	1916667	2018-06-01	01:08 PM	1745798	ShawnaStearns@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	05:30 PM	2018-06-28	08:00 PM				1					0	1928163	2018-06-06	06:01 PM	1752460	MelaniMontag@example.com	Melani	Montag	(619) 555-6503	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	05:30 PM	2018-06-28	08:00 PM				1					0	1928406	2018-06-06	08:00 PM	1752569	ScarlettSauve@example.com	Scarlett	Sauve	(019) 555-4365	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	05:30 PM	2018-06-28	08:00 PM				1					0	1964142	2018-06-25	10:42 AM	1770542	StarStransky@example.com	Star	Stransky	(858) 555-0411	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-28	05:30 PM	2018-06-28	08:00 PM				1					0	1971238	2018-06-28	03:15 PM	1774081	ElvieEscudero@example.com	Elvie	Escudero	(858) 555-8482	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	08:00 AM	2018-06-29	12:30 PM				1					0	1957132	2018-06-21	12:51 AM	1767641	MandyMckillop@example.com	Mandy	Mckillop	(407) 555-3337	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	08:00 AM	2018-06-29	12:30 PM				1					0	1965343	2018-06-25	11:43 PM	1770120	TerrilynTyner@example.com	Terrilyn	Tyner	(619) 555-9754	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	08:00 AM	2018-06-29	12:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	08:00 AM	2018-06-29	12:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	08:00 AM	2018-06-29	12:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	08:00 AM	2018-06-29	12:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	08:00 AM	2018-06-29	12:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	08:00 AM	2018-06-29	12:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	12:00 PM	2018-06-29	04:30 PM				1					0	1922255	2018-06-04	09:00 PM	1748709	YeseniaYopp@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	12:00 PM	2018-06-29	04:30 PM				1					0	1928971	2018-06-07	07:19 AM	1752846	AmalAllison@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	12:00 PM	2018-06-29	04:30 PM				1					0	1971239	2018-06-28	03:15 PM	1774081	YaniraYoungren@example.com	Yanira	Youngren	(482) 555-0528	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	12:00 PM	2018-06-29	04:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	12:00 PM	2018-06-29	04:30 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	04:30 PM	2018-06-29	07:00 PM				1					0	1903062	2018-05-24	05:16 PM	1738931	ChayaCoplin@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	04:30 PM	2018-06-29	07:00 PM				1					0	1943513	2018-06-12	03:53 PM	1761156	NapoleonNickols@example.com				
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	04:30 PM	2018-06-29	07:00 PM				1					0	1947783	2018-06-14	09:30 PM	1763159	MarthMainer@example.com	Marth	Mainer	(466) 555-5410	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	04:30 PM	2018-06-29	07:00 PM				1					0	1950213	2018-06-16	06:57 PM	1764332	LorrettaLiberto@example.com	Lorretta	Liberto	(619) 555-3188	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	04:30 PM	2018-06-29	07:00 PM				1					0	1952343	2018-06-18	04:13 PM	1765287	KristineKram@example.com	Kristine	Kram	(619) 555-2452	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	04:30 PM	2018-06-29	07:00 PM				1					0	1952664	2018-06-18	08:09 PM	1765385	PhillisPlunkett@example.com	Phillis	Plunkett	(916) 555-5046	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	04:30 PM	2018-06-29	07:00 PM				1					0	1952666	2018-06-18	08:14 PM	1765421	LeviLappin@example.com	Levi	Lappin	(858) 555-9985	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	04:30 PM	2018-06-29	07:00 PM				1					0	1954159	2018-06-19	04:40 PM	1766161	RennaRm@example.com	Renna	Rm	(858) 555-2567	
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	04:30 PM	2018-06-29	07:00 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	04:30 PM	2018-06-29	07:00 PM																		
San Diego Startup Week 2018	I Can Help Anywhere!			0.00	2018-06-29	04:30 PM	2018-06-29	07:00 PM																		
San Diego Startup Week 2018	Logistics: A/V Support		A/V Setup on Monday, Runners on Tuesday-Friday	0.00	2018-06-25	07:00 AM	2018-06-25	11:00 AM	A/V Set-up for first day			1					0	1931891	2018-06-07	03:19 PM	1755190	PorschePopovich@example.com	Porsche	Popovich	(858) 555-1516	
San Diego Startup Week 2018	Logistics: A/V Support		A/V Setup on Monday, Runners on Tuesday-Friday	0.00	2018-06-25	07:00 AM	2018-06-25	11:00 AM	A/V Set-up for first day			1					0	1950191	2018-06-16	06:04 PM	1764324	YaniraYoungren@example.com	Yanira	Youngren	(647) 555-8422	
San Diego Startup Week 2018	Logistics: A/V Support		A/V Setup on Monday, Runners on Tuesday-Friday	0.00	2018-06-25	07:00 AM	2018-06-25	11:00 AM	A/V Set-up for first day			1					0	1952531	2018-06-18	06:12 PM	1746021	ToddTapia@example.com	Todd	Tapia	(084) 555-9172	
San Diego Startup Week 2018	Logistics: A/V Support		A/V Setup on Monday, Runners on Tuesday-Friday	0.00	2018-06-25	07:00 AM	2018-06-25	11:00 AM	A/V Set-up for first day																	
San Diego Startup Week 2018	Logistics: A/V Support		A/V Setup on Monday, Runners on Tuesday-Friday	0.00	2018-06-25	07:00 AM	2018-06-25	11:00 AM	A/V Set-up for first day																	
San Diego Startup Week 2018	Logistics: A/V Support		A/V Setup on Monday, Runners on Tuesday-Friday	0.00	2018-06-25	07:00 AM	2018-06-25	11:00 AM	A/V Set-up for first day																	
San Diego Startup Week 2018	Logistics: A/V Support		A/V Setup on Monday, Runners on Tuesday-Friday	0.00	2018-06-25	09:00 AM	2018-06-25	12:30 PM				1					0	1943869	2018-06-12	07:32 PM	1761332	ToddTapia@example.com				
San Diego Startup Week 2018	Logistics: A/V Support		A/V Setup on Monday, Runners on Tuesday-Friday	0.00	2018-06-25	02:00 PM	2018-06-25	04:30 PM	Afternoon runners, troubleshooting; One per zone			1					0	1928262	2018-06-06	06:52 PM	1752514	StarStransky@example.com				
San Diego Startup Week 2018	Logistics: A/V Support		A/V Setup on Monday, Runners on Tuesday-Friday	0.00	2018-06-26	09:00 AM	2018-06-26	12:30 PM	Morning runner, troubleshooting			1					0	1931892	2018-06-07	03:19 PM	1755190	DeneseDettman@example.com	Denese	Dettman	(858) 555-3088	
San Diego Startup Week 2018	Logistics: A/V Support		A/V Setup on Monday, Runners on Tuesday-Friday	0.00	2018-06-26	02:00 PM	2018-06-26	04:30 PM	Afternoon runners, troubleshooting; One per zone			1					0	1928263	2018-06-06	06:52 PM	1752514	LeonoreLease@example.com				
San Diego Startup Week 2018	Logistics: A/V Support		A/V Setup on Monday, Runners on Tuesday-Friday	0.00	2018-06-27	09:00 AM	2018-06-27	12:30 PM	Morning runner, troubleshooting; One per zone			1					0	1947718	2018-06-14	08:48 PM	1763141	MarceleneMichaux@example.com	Marcelene	Michaux	(858) 555-2987	
San Diego Startup Week 2018	Logistics: A/V Support		A/V Setup on Monday, Runners on Tuesday-Friday	0.00	2018-06-27	02:00 PM	2018-06-27	04:30 PM	Afternoon runners, troubleshooting; One per zone			1					0	1928264	2018-06-06	06:52 PM	1752514	BrentonBlanco@example.com				
San Diego Startup Week 2018	Logistics: A/V Support		A/V Setup on Monday, Runners on Tuesday-Friday	0.00	2018-06-28	09:00 AM	2018-06-28	12:30 PM	Morning runner, troubleshooting; One per zone			1					0	1962201	2018-06-23	09:42 AM	1769559	MildaMajeed@example.com	Milda	Majeed	(858) 555-1922	
